"county","year","cohort","treated","age","female","region","ssb_oz"
33,2011,2017,0,18,1,"Midwest",7.88383439568144
34,2011,2015,0,43.1903683710889,0,"Northeast",14.5511802140031
35,2011,2017,0,18,1,"Northeast",6.00217412663915
36,2011,0,0,50.6029264906802,0,"West",13.3155742417082
37,2011,0,0,36.4662432340834,1,"West",4.83784329535771
38,2011,0,0,46.1599280719384,0,"West",10.6586587757852
39,2011,2013,0,66.3955593617566,0,"South",8.91187053010927
40,2011,2015,0,51.4505083763987,0,"South",9.9182404977216
1,2012,0,0,26.8494456287034,0,"West",15.8013586532924
2,2012,0,0,20.3161814042186,0,"Northeast",6.01326526868792
3,2012,2013,0,61.1107349550563,1,"Northeast",11.4808676098474
4,2012,2017,0,23.8658106940597,0,"Northeast",12.7795807195818
5,2012,2017,0,47.5719092460363,1,"South",10.7110294861261
6,2012,0,0,47.1421531086098,0,"West",11.5815521961788
7,2012,2015,0,28.3320723538113,1,"West",7.28627850703233
8,2012,2013,0,42.5014136490187,1,"South",10.9651567226166
9,2012,2015,0,62.2586391186358,1,"South",12.398589245477
10,2012,2017,0,18,1,"South",15.4024073205799
11,2012,2013,0,65.9726994746554,0,"Midwest",12.1121327870634
12,2012,2015,0,27.1978898724704,1,"South",11.2333943227673
13,2012,2017,0,36.9424147841423,0,"Midwest",10.0994863641371
14,2012,0,0,21.6462361233979,0,"South",14.080920419162
15,2012,0,0,57.3084418026606,0,"West",13.4206175862302
16,2012,2017,0,24.8325407506355,1,"South",11.3793859905837
17,2012,2013,0,26.6891215765667,0,"Northeast",14.8224925532109
18,2012,0,0,48.0024328568962,0,"West",14.6541750854682
19,2012,2013,0,42.36811329333,0,"South",12.3978149024773
20,2012,2017,0,37.3863223999713,0,"Northeast",9.16656677480257
21,2012,2017,0,18,1,"South",14.4585851761826
22,2012,2017,0,18,0,"Midwest",11.9779943792742
23,2012,2013,0,50.181533758934,1,"Midwest",7.89535585161607
24,2012,0,0,54.0792261912536,0,"Midwest",14.192277398474
25,2012,2013,0,18,1,"Northeast",11.1979175672574
26,2012,2013,0,37.2824576371591,0,"South",9.51536726898653
27,2012,2015,0,18,0,"Midwest",9.67436316923952
28,2012,2015,0,51.9526739571901,1,"West",9.42123793065881
29,2012,2015,0,51.8404084899983,1,"West",9.03192736445687
30,2012,2015,0,31.2567663102716,0,"West",15.6328394029557
31,2012,2015,0,41.0003627578417,1,"Midwest",17.1963649169673
32,2012,2013,0,36.7535833409126,1,"Northeast",8.41172993816422
33,2012,2017,0,20.769195373904,0,"Midwest",9.20122139867189
34,2012,2015,0,18,1,"Northeast",14.2213908945253
35,2012,2017,0,25.4438849146531,1,"Northeast",11.0517253850514
36,2012,0,0,47.7631103131064,1,"West",7.07214247155179
37,2012,0,0,29.3215902126415,0,"West",9.07378418478858
38,2012,0,0,45.1818245880244,1,"West",11.3348691007188
39,2012,2013,0,70.1497989083524,1,"South",4.17576393127338
40,2012,2015,0,80,1,"South",13.4635877732336
1,2013,0,0,49.4798286863452,1,"West",12.9445279701051
2,2013,0,0,33.9422197832411,0,"Northeast",11.1069084007001
3,2013,2013,1,67.5823379438024,0,"Northeast",10.4235171455709
4,2013,2017,0,38.9129520350553,0,"Northeast",15.5855013761763
5,2013,2017,0,43.1801664573677,0,"South",12.5412031168569
6,2013,0,0,45.4859812694506,1,"West",10.7026024511348
7,2013,2015,0,20.9896443026279,0,"West",10.5235232032746
8,2013,2013,1,52.6578399723888,1,"South",9.76175857720637
9,2013,2015,0,43.4184712659681,0,"South",10.1649384727142
10,2013,2017,0,44.7174911823101,1,"South",8.94937617115184
11,2013,2013,1,50.8276843878377,1,"Midwest",6.5794077102041
12,2013,2015,0,27.8722037921156,1,"South",6.87012268124737
13,2013,2017,0,25.6922739498002,1,"Midwest",9.72448446953964
14,2013,0,0,19.6173871526941,0,"South",14.0267831171512
15,2013,0,0,70.9011423622051,0,"West",15.551646316836
16,2013,2017,0,35.9930948254786,0,"South",11.1778172384919
17,2013,2013,1,53.9759415165477,0,"Northeast",10.7749700711154
18,2013,0,0,52.0886080004234,1,"West",11.3530467184448
19,2013,2013,1,25.8779534625049,0,"South",8.24895871545638
20,2013,2017,0,30.8162866143998,1,"Northeast",9.45759919627034
21,2013,2017,0,26.3546547651866,0,"South",16.4106079667933
22,2013,2017,0,34.2873194432995,1,"Midwest",6.57720745139138
23,2013,2013,1,53.7852257040851,0,"Midwest",6.24711489864715
24,2013,0,0,26.852488851318,1,"Midwest",10.6889716210484
25,2013,2013,1,25.017891579826,1,"Northeast",5.86181645391812
26,2013,2013,1,40.3236227483456,1,"South",11.4931621922056
27,2013,2015,0,57.2154191453059,0,"Midwest",7.00884192199899
28,2013,2015,0,34.1947617511328,1,"West",8.68650351782954
29,2013,2015,0,36.714089204404,0,"West",8.39141573800325
30,2013,2015,0,50.1770826778847,1,"West",9.82743432158891
31,2013,2015,0,31.04618541707,0,"Midwest",12.6606690578527
32,2013,2013,1,68.1707263907542,1,"Northeast",8.28106666069483
33,2013,2017,0,30.1896271405675,0,"Midwest",11.3648718459136
34,2013,2015,0,49.9045112501392,0,"Northeast",11.6932069583347
35,2013,2017,0,18,1,"Northeast",14.3899997117285
36,2013,0,0,55.0554283370614,0,"West",13.2347249794258
37,2013,0,0,37.0598029593309,1,"West",14.0799377088176
38,2013,0,0,43.1608038194155,1,"West",16.0908002890599
39,2013,2013,1,33.0836721174041,1,"South",4.59011990777167
40,2013,2015,0,18,0,"South",11.7712789410602
1,2014,0,0,69.6245208005282,0,"West",13.3627744376457
2,2014,0,0,41.3660494791568,1,"Northeast",13.5131174123002
3,2014,2013,1,60.0635567591598,0,"Northeast",13.3372517683009
4,2014,2017,0,38.5013086311604,0,"Northeast",14.9800652094354
5,2014,2017,0,39.0491873282997,0,"South",14.4917141249737
6,2014,0,0,18,1,"West",14.6818440003603
7,2014,2015,0,25.3216718737432,1,"West",4.31836618299016
8,2014,2013,1,43.4868283093215,1,"South",10.3028900079889
9,2014,2015,0,44.380813571349,0,"South",15.4619718059872
10,2014,2017,0,29.29758140365,0,"South",17.4988222782507
11,2014,2013,1,58.0337823561159,1,"Midwest",6.64810650262075
12,2014,2015,0,53.0134932753772,1,"South",5.76094075208171
13,2014,2017,0,21.5052771090323,0,"Midwest",11.5847593085502
14,2014,0,0,49.508831640032,1,"South",8.09126848030935
15,2014,0,0,52.2052402484655,0,"West",8.48990701476225
16,2014,2017,0,44.3198815701168,0,"South",7.35653102796164
17,2014,2013,1,50.1881985250773,0,"Northeast",10.084318423294
18,2014,0,0,47.5672402885102,0,"West",11.761851574122
19,2014,2013,1,22.0202577076274,0,"South",10.1421886901915
20,2014,2017,0,31.3335733848687,1,"Northeast",8.46592786313269
21,2014,2017,0,61.2473007532425,0,"South",9.5450959698646
22,2014,2017,0,66.5767675909954,1,"Midwest",9.807292409592
23,2014,2013,1,31.3812528598344,1,"Midwest",5.31460310846082
24,2014,0,0,47.663007461964,1,"Midwest",8.67069556971262
25,2014,2013,1,23.3112910951926,1,"Northeast",10.5237987071318
26,2014,2013,1,55.0739862750667,0,"South",13.0258215371214
27,2014,2015,0,18,1,"Midwest",11.1445397092469
28,2014,2015,0,57.1037306765873,1,"West",14.3530247598217
29,2014,2015,0,59.9719074296807,1,"West",16.1486110610809
30,2014,2015,0,29.6107317819755,0,"West",15.0084113735185
31,2014,2015,0,44.7309337269882,0,"Midwest",7.10355605715828
32,2014,2013,1,34.3491478291018,1,"Northeast",3.79851380169672
33,2014,2017,0,20.8828445701856,1,"Midwest",10.9889050555581
34,2014,2015,0,35.7493566637361,1,"Northeast",4.92374859171731
35,2014,2017,0,39.1361099817635,0,"Northeast",11.0938696187179
36,2014,0,0,23.1245430447237,1,"West",10.9088755695573
37,2014,0,0,66.027418605235,0,"West",6.3969126707528
38,2014,0,0,57.5826113048371,1,"West",13.6738722286512
39,2014,2013,1,31.4439890195977,0,"South",10.7754526117054
40,2014,2015,0,46.751440284493,0,"South",10.0721744760468
1,2015,0,0,36.4495473995109,0,"West",6.02326438610992
2,2015,0,0,45.4897490365389,1,"Northeast",10.2858061263485
3,2015,2013,1,44.4254988014527,0,"Northeast",9.98736044576729
4,2015,2017,0,42.1931341849706,1,"Northeast",7.97631209811386
5,2015,2017,0,71.2538736928845,0,"South",12.4225135829529
6,2015,0,0,18,0,"West",12.1676729191475
7,2015,2015,1,34.93045319197,1,"West",14.9045526717474
8,2015,2013,1,50.969040785663,1,"South",11.7500446773246
9,2015,2015,1,33.0133959738674,0,"South",9.2891245139179
10,2015,2017,0,40.191733421497,0,"South",15.025708952587
11,2015,2013,1,47.7120488007524,1,"Midwest",8.57909222743669
12,2015,2015,1,42.7780638714125,1,"South",7.81765757292155
13,2015,2017,0,33.5516646386629,0,"Midwest",12.573775504696
14,2015,0,0,19.6606897216589,0,"South",13.1753033665425
15,2015,0,0,18,1,"West",15.0567269772507
16,2015,2017,0,45.6240314134789,0,"South",13.9846063825382
17,2015,2013,1,30.7836797768083,1,"Northeast",5.57647628060234
18,2015,0,0,56.9508715207198,1,"West",11.6519040591234
19,2015,2013,1,58.5925315658291,0,"South",7.68288270884189
20,2015,2017,0,60.2956735598661,1,"Northeast",9.34795459253847
21,2015,2017,0,61.8743014761633,1,"South",11.5360042744959
22,2015,2017,0,26.5997333184414,1,"Midwest",6.94902223021384
23,2015,2013,1,56.2521210423465,0,"Midwest",3.05294356166397
24,2015,0,0,48.3214275035202,0,"Midwest",9.33147046401955
25,2015,2013,1,57.0766831923328,0,"Northeast",9.49658831839434
26,2015,2013,1,33.034265283094,1,"South",6.77939560942389
27,2015,2015,1,45.6026537250708,0,"Midwest",11.5756249838404
28,2015,2015,1,30.4132201121511,0,"West",7.69259121961115
29,2015,2015,1,38.3450505421099,1,"West",8.79854530014022
30,2015,2015,1,56.3875100658733,1,"West",10.9094430110318
31,2015,2015,1,34.6832907340157,1,"Midwest",9.91711528675272
32,2015,2013,1,18,0,"Northeast",13.3105373455717
33,2015,2017,0,53.2438063942717,0,"Midwest",8.12599447601939
34,2015,2015,1,51.4976430579223,0,"Northeast",9.66847501437089
35,2015,2017,0,35.5616307667501,1,"Northeast",17.177231721894
36,2015,0,0,26.9930182939225,0,"West",7.56268337338494
37,2015,0,0,34.1976663858182,1,"West",14.4181381314368
38,2015,0,0,27.9345692013932,0,"West",11.6346012488307
39,2015,2013,1,18.4547689442629,1,"South",12.1492904253416
40,2015,2015,1,22.2049328145273,1,"South",11.3575115073861
1,2016,0,0,34.0329879460595,1,"West",11.9070608416982
2,2016,0,0,57.6556180529813,0,"Northeast",7.44365800912992
3,2016,2013,1,41.0528072207382,1,"Northeast",9.69425565114155
4,2016,2017,0,25.0025178044486,1,"Northeast",11.9142956190007
5,2016,2017,0,36.2009492386729,1,"South",10.0139201588789
6,2016,0,0,55.1882163767973,1,"West",12.0324152266285
7,2016,2015,1,43.8439216859452,1,"West",8.63823056738675
8,2016,2013,1,47.5589876160921,0,"South",10.2775675508479
9,2016,2015,1,21.9846354130574,1,"South",11.5242241380676
10,2016,2017,0,42.6168293349175,1,"South",11.4423097993482
11,2016,2013,1,23.8067466550708,0,"Midwest",13.0664336686974
12,2016,2015,1,18,0,"South",8.78663176724324
13,2016,2017,0,40.4530039334507,1,"Midwest",9.54448888764374
14,2016,0,0,46.2318147626205,1,"South",15.2474968063821
15,2016,0,0,46.1426448528632,0,"West",12.4844957064178
16,2016,2017,0,45.7901553313754,1,"South",13.0306897349108
17,2016,2013,1,46.0611597270914,1,"Northeast",7.76408564021678
18,2016,0,0,32.8104703007717,0,"West",7.52716980927472
19,2016,2013,1,32.6204584541981,0,"South",10.2424311754798
20,2016,2017,0,28.2119457690915,0,"Northeast",4.49556978353908
21,2016,2017,0,46.1441881454698,0,"South",11.9093885022503
22,2016,2017,0,51.5729329428766,0,"Midwest",14.0866691970447
23,2016,2013,1,43.2023138253074,1,"Midwest",8.67358582537363
24,2016,0,0,44.4332117758281,0,"Midwest",12.3841937863761
25,2016,2013,1,50.7015601967389,1,"Northeast",8.9480357480434
26,2016,2013,1,60.0269837805572,1,"South",10.5164666786132
27,2016,2015,1,56.3258429572032,0,"Midwest",8.0059669966347
28,2016,2015,1,49.4516159594637,1,"West",12.1186372663665
29,2016,2015,1,24.7984554623478,1,"West",12.6701925327871
30,2016,2015,1,43.2707636192228,0,"West",9.29436675486906
31,2016,2015,1,56.2698213688274,0,"Midwest",8.66800271911475
32,2016,2013,1,23.0772282961559,1,"Northeast",6.31754198307918
33,2016,2017,0,18,1,"Midwest",15.6491090724059
34,2016,2015,1,47.2255340232028,1,"Northeast",5.51567799199092
35,2016,2017,0,55.9657181828415,0,"Northeast",1.10434677831962
36,2016,0,0,46.7945729207189,0,"West",11.9735795386903
37,2016,0,0,40.3185336994784,1,"West",16.1912149123309
38,2016,0,0,46.4040727850007,1,"West",11.7393907032955
39,2016,2013,1,39.2443853535192,1,"South",8.24988037044563
40,2016,2015,1,32.681107899294,1,"South",13.8150676168827
1,2017,0,0,48.4428779404014,1,"West",7.5054056369944
2,2017,0,0,42.7350458891021,1,"Northeast",4.40059142338094
3,2017,2013,1,29.6640353049868,1,"Northeast",9.04403957257002
4,2017,2017,1,18,1,"Northeast",9.2664773293321
5,2017,2017,1,55.7628975182733,1,"South",5.95419232702037
6,2017,0,0,20.9625010863342,1,"West",11.1674299626409
7,2017,2015,1,47.263070435134,1,"West",4.0844895446474
8,2017,2013,1,39.9020157571016,0,"South",7.64367821374149
9,2017,2015,1,55.4599080006812,1,"South",3.26375815575763
10,2017,2017,1,51.614485239567,0,"South",9.37784976976867
11,2017,2013,1,41.2219812220673,0,"Midwest",10.3538075239521
12,2017,2015,1,40.8577064905083,1,"South",13.7440900297252
13,2017,2017,1,29.5983749804828,0,"Midwest",10.2030287921546
14,2017,0,0,42.5583011795528,1,"South",10.4323663910666
15,2017,0,0,33.6057924843299,1,"West",6.81094415004237
16,2017,2017,1,36.0999410325972,1,"South",11.1750430092581
17,2017,2013,1,26.3131051267783,0,"Northeast",2.54182814853283
18,2017,0,0,18,1,"West",12.0846491687984
19,2017,2013,1,31.3160084046242,0,"South",12.1146800302571
20,2017,2017,1,29.0956195598497,0,"Northeast",10.7604109983374
21,2017,2017,1,49.5961694840869,1,"South",5.41630486159522
22,2017,2017,1,18,0,"Midwest",8.35113731841504
23,2017,2013,1,45.984907635614,0,"Midwest",10.8472402354926
24,2017,0,0,71.3596498759487,1,"Midwest",11.4627017047351
25,2017,2013,1,31.7376574830295,0,"Northeast",6.24837538011179
26,2017,2013,1,56.5307535465516,0,"South",3.96384364096738
27,2017,2015,1,31.6335054463956,0,"Midwest",11.9939468310764
28,2017,2015,1,41.9349788914351,1,"West",6.17698584591454
29,2017,2015,1,39.6525980960336,0,"West",10.6802947467737
30,2017,2015,1,35.7627603272377,1,"West",9.19675386243453
31,2017,2015,1,52.4548015661223,1,"Midwest",6.4773083994829
32,2017,2013,1,41.7342547855367,1,"Northeast",7.99455672697988
33,2017,2017,1,33.2123447835794,0,"Midwest",16.4698145528345
34,2017,2015,1,18,1,"Northeast",4.04083765722275
35,2017,2017,1,49.3069025426575,1,"Northeast",0.651819914210748
36,2017,0,0,41.4819509887486,0,"West",8.56502318676062
37,2017,0,0,29.5917589538546,1,"West",12.5329738132679
38,2017,0,0,20.3707058144705,1,"West",9.2719936627409
39,2017,2013,1,31.5877559108666,1,"South",4.32214096329703
40,2017,2015,1,38.1769787975137,1,"South",10.5305494734796
1,2018,0,0,62.8174270156763,1,"West",11.06395348333
2,2018,0,0,45.0267441911958,0,"Northeast",18.2845655533511
3,2018,2013,1,44.0466100478988,0,"Northeast",6.72772669896755
4,2018,2017,1,18.2416086418005,0,"Northeast",11.6922562254451
5,2018,2017,1,60.2340876788231,0,"South",14.5559465497022
6,2018,0,0,41.6554107196651,0,"West",9.91523663444178
7,2018,2015,1,26.5183024673248,1,"West",9.80400355243761
8,2018,2013,1,39.0062203961157,0,"South",0.0115830474922642
9,2018,2015,1,38.4250360395422,0,"South",9.52038416549137
10,2018,2017,1,31.2916557831818,0,"South",14.0102114376401
11,2018,2013,1,43.0938197080566,1,"Midwest",4.19233318517379
12,2018,2015,1,53.1426780063056,0,"South",4.62126410385514
13,2018,2017,1,30.1027776290914,1,"Midwest",6.48945182936264
14,2018,0,0,36.0725817482829,0,"South",8.78955845962461
15,2018,0,0,18,0,"West",15.6943404346083
16,2018,2017,1,24.0451950992811,1,"South",11.7833896266764
17,2018,2013,1,28.9199517317006,0,"Northeast",4.49512991977095
18,2018,0,0,47.5218379850337,0,"West",12.2196636690659
19,2018,2013,1,26.4563600141168,1,"South",4.61521924997058
20,2018,2017,1,18.7573413467379,1,"Northeast",8.90211542113407
21,2018,2017,1,48.366692613573,1,"South",8.14833159519701
22,2018,2017,1,37.2218491591782,0,"Midwest",10.8071292089356
23,2018,2013,1,50.2258420230963,1,"Midwest",11.909443661109
24,2018,0,0,24.8453556352203,0,"Midwest",3.0235939480759
25,2018,2013,1,37.8063026227054,1,"Northeast",4.29327967334639
26,2018,2013,1,64.9728973900904,0,"South",9.37134377829195
27,2018,2015,1,20.1897146302417,1,"Midwest",7.52766227918326
28,2018,2015,1,52.3869496248792,0,"West",11.3338876009517
29,2018,2015,1,44.7704883684872,1,"West",5.7814413759323
30,2018,2015,1,36.1885797606019,1,"West",4.52885622844058
31,2018,2015,1,18,1,"Midwest",8.85586625682757
32,2018,2013,1,50.3617221940176,1,"Northeast",0.784555083855181
33,2018,2017,1,25.3541870672525,0,"Midwest",12.1524073685425
34,2018,2015,1,40.4184386044969,1,"Northeast",14.7015333168039
35,2018,2017,1,42.6187500507888,1,"Northeast",5.76734465284518
36,2018,0,0,43.7999576824549,1,"West",9.837846355772
37,2018,0,0,42.5231440532221,1,"West",15.8337406719903
38,2018,0,0,29.3959725711602,1,"West",13.5389545988262
39,2018,2013,1,18.7824482987878,1,"South",10.4217113293493
40,2018,2015,1,53.1783584684316,0,"South",8.69474799916898
1,2019,0,0,47.6723501919372,0,"West",18.8663638631368
2,2019,0,0,29.4894286501288,1,"Northeast",9.55094745244366
3,2019,2013,1,46.7181951062133,0,"Northeast",5.28134847360567
4,2019,2017,1,51.424157571709,0,"Northeast",7.08755998595846
5,2019,2017,1,49.666955277572,0,"South",9.56456754933838
6,2019,0,0,21.043889076905,1,"West",8.66665475625396
7,2019,2015,1,53.5840640413148,0,"West",11.2874293248648
8,2019,2013,1,57.8035973365574,1,"South",6.05711672599168
9,2019,2015,1,68.3354009215499,0,"South",11.4046445794292
10,2019,2017,1,25.8383822272084,0,"South",10.7245309853432
11,2019,2013,1,21.8488136857866,0,"Midwest",3.48345494414906
12,2019,2015,1,38.133026336617,0,"South",10.6529475468461
13,2019,2017,1,34.2875588885747,1,"Midwest",15.4102501660692
14,2019,0,0,18,0,"South",12.8436113174022
15,2019,0,0,59.2871785061239,1,"West",6.22267856586857
16,2019,2017,1,18.1143109406412,1,"South",11.0415709210827
17,2019,2013,1,30.7905994531237,0,"Northeast",5.39580946942079
18,2019,0,0,37.3288448604108,1,"West",13.7965934508381
19,2019,2013,1,25.8018928214628,1,"South",8.26714318549054
20,2019,2017,1,70.3967624902126,0,"Northeast",14.2883211761204
21,2019,2017,1,27.7488940366853,0,"South",11.2774836569595
22,2019,2017,1,39.5556402799359,1,"Midwest",6.25194054792106
23,2019,2013,1,23.8650028202819,1,"Midwest",3.22645067946712
24,2019,0,0,29.2649792563235,1,"Midwest",10.5632563618862
25,2019,2013,1,58.0736720245873,0,"Northeast",8.3257959847987
26,2019,2013,1,53.6626394133382,0,"South",2.7488500843124
27,2019,2015,1,65.7390286275206,0,"Midwest",4.48275927527791
28,2019,2015,1,30.0113423207186,1,"West",8.41277295583585
29,2019,2015,1,60.7380591290753,0,"West",10.584781766888
30,2019,2015,1,67.4119186940082,1,"West",8.70353553117337
31,2019,2015,1,53.925119609791,0,"Midwest",8.85585882680197
32,2019,2013,1,38.5015707032204,0,"Northeast",11.0854568643628
33,2019,2017,1,27.3787353030818,1,"Midwest",10.6819969442662
34,2019,2015,1,48.2629985069534,1,"Northeast",7.38206138335707
35,2019,2017,1,45.0781621709023,0,"Northeast",9.9502455057613
36,2019,0,0,40.5135307281781,0,"West",14.3827231221959
37,2019,0,0,35.9893624171563,1,"West",11.6916391201464
38,2019,0,0,38.0271870514493,1,"West",10.6275544973247
39,2019,2013,1,23.7777659990704,1,"South",8.07154214495856
40,2019,2015,1,46.5705347989429,1,"South",10.9171167046064
1,2010,0,0,18,0,"West",14.6617792977846
2,2010,0,0,60.0390352288751,0,"Northeast",13.0497779578608
3,2010,2013,0,49.3021566473057,0,"Northeast",8.77333477720053
4,2010,2017,0,36.1820140297775,1,"Northeast",13.4306524176227
5,2010,2017,0,62.1258942906397,0,"South",3.8565358667811
6,2010,0,0,20.8216368444806,0,"West",15.2687675956612
7,2010,2015,0,48.2801604476794,1,"West",10.7984622855197
8,2010,2013,0,28.5119615492058,0,"South",15.685307004531
9,2010,2015,0,26.9552595199682,0,"South",17.107301772133
10,2010,2017,0,18,0,"South",11.0794040214589
11,2010,2013,0,42.0088227313781,0,"Midwest",15.3959819716882
12,2010,2015,0,37.6579954688023,0,"South",11.9595886570932
13,2010,2017,0,52.5163786819017,0,"Midwest",8.17698405174389
14,2010,0,0,36.7189910556422,1,"South",12.5097309190099
15,2010,0,0,18,0,"West",12.2341512914229
16,2010,2017,0,54.1739677269569,0,"South",6.10288584113198
17,2010,2013,0,34.3162457652446,1,"Northeast",11.7523919937771
18,2010,0,0,36.1247694500082,1,"West",13.4289932614933
19,2010,2013,0,40.3317078486785,1,"South",7.62652716010711
20,2010,2017,0,24.7148973732918,1,"Northeast",16.5846924242264
21,2010,2017,0,28.6725818599478,0,"South",12.3495777702071
22,2010,2017,0,51.6999597885608,1,"Midwest",9.14985206183185
23,2010,2013,0,55.5892740208071,0,"Midwest",8.29952906538341
24,2010,0,0,41.9712563386071,1,"Midwest",11.0802009973309
25,2010,2013,0,38.694185128675,0,"Northeast",12.9123172380269
26,2010,2013,0,39.2261260417684,0,"South",8.31946230512846
27,2010,2015,0,36.8402252017222,0,"Midwest",13.7061097158695
28,2010,2015,0,49.238642085211,1,"West",10.5404565427879
29,2010,2015,0,44.1769161539692,1,"West",6.58634745246424
30,2010,2015,0,19.5032709974343,1,"West",13.7727153277781
31,2010,2015,0,57.5475123658855,1,"Midwest",13.2656505975209
32,2010,2013,0,21.1226834956613,1,"Northeast",10.9600253370167
33,2010,2017,0,42.0743344771661,1,"Midwest",12.335934282883
34,2010,2015,0,39.9317950009599,1,"Northeast",9.03130035244297
35,2010,2017,0,43.1533206530391,1,"Northeast",7.32368477515172
36,2010,0,0,35.3571225285879,0,"West",15.8995147769637
37,2010,0,0,26.7092022786474,0,"West",11.3067436651733
38,2010,0,0,72.2793890892847,1,"West",13.1946917758391
39,2010,2013,0,42.674239343147,0,"South",8.19513180657448
40,2010,2015,0,35.6903768432476,0,"South",16.9360759463871
1,2011,0,0,41.7575076549423,0,"West",11.7157618296615
2,2011,0,0,50.6723723662236,0,"Northeast",11.9791425956957
3,2011,2013,0,47.2300613996559,0,"Northeast",11.0753977578212
