schools,year,hhabit,parksd,medu,girl,sports,bmi,chrt
13,2040,No,3,9,No,No,25.389091,0
37,2038,Yes,6,18,No,Yes,18.791937,2036
25,2039,No,5,9,No,Yes,19.625134,0
39,2037,Yes,6,10,Yes,No,28.380222,2036
5,2032,No,4,9,Yes,No,34.577148,0
26,2033,No,4,9,Yes,Yes,32.320457,0
19,2036,No,5,9,Yes,No,23.411116,0
10,2039,No,6,9,Yes,No,21.586264,0
40,2033,No,4,15,No,No,27.108248,2036
22,2034,No,5,11,No,Yes,27.075996,0
27,2039,No,6,15,Yes,No,30.104124,0
20,2032,No,4,16,Yes,Yes,21.843304,0
9,2035,No,3,9,Yes,Yes,30.209713,0
9,2032,No,3,14,No,Yes,30.187023,0
22,2034,No,5,8,Yes,Yes,19.553225,0
35,2033,No,3,11,No,No,24.920124,2038
35,2034,No,3,9,Yes,Yes,30.250895,2038
21,2039,No,4,9,No,No,32.812183,0
11,2035,No,7,9,No,Yes,26.224085,0
3,2035,Yes,5,9,Yes,Yes,17.586117,2034
23,2040,No,2,13,No,Yes,18.736921,0
16,2035,No,3,9,No,Yes,25.860647,0
17,2035,No,6,11,No,No,28.438829,0
29,2034,No,3,8,No,No,22.723404,0
38,2040,Yes,7,9,No,Yes,25.930037,2036
21,2032,No,4,9,No,Yes,14.994347,0
28,2035,No,3,9,No,No,31.281528,0
19,2036,No,5,10,No,Yes,22.72217,0
17,2039,No,6,7,No,No,31.295452,0
12,2036,No,5,11,No,Yes,17.803787,0
15,2036,No,5,9,No,Yes,17.118271,0
40,2032,No,4,11,Yes,Yes,30.411385,2036
29,2038,No,3,9,Yes,No,21.6348,0
4,2037,No,5,7,No,Yes,30.376364,0
13,2039,No,3,13,No,Yes,23.754755,0
14,2032,No,5,11,Yes,Yes,19.73704,0
36,2035,No,3,9,No,No,19.762274,2036
17,2033,No,6,19,Yes,Yes,19.411074,0
20,2040,No,4,11,No,Yes,28.108507,0
23,2034,No,2,9,No,Yes,23.783382,0
17,2037,No,6,8,Yes,Yes,29.28632,0
18,2039,No,5,7,Yes,No,32.998199,0
36,2037,Yes,3,9,No,No,17.312338,2036
30,2035,No,6,9,Yes,No,32.648563,0
5,2038,No,4,9,No,Yes,24.537767,0
23,2036,No,2,13,No,Yes,25.802465,0
21,2032,No,4,9,Yes,No,22.604345,0
21,2036,No,4,9,Yes,No,26.675406,0
33,2039,Yes,3,9,No,Yes,19.001749,2038
23,2032,No,2,8,No,No,25.044533,0
10,2034,No,6,9,No,Yes,25.109421,0
27,2036,No,6,9,No,Yes,29.336649,0
8,2036,No,4,9,No,Yes,17.783768,0
21,2038,No,4,9,No,Yes,27.645378,0
12,2033,No,5,9,No,Yes,31.395678,0
28,2035,No,3,8,Yes,No,28.392326,0
39,2035,No,6,8,No,Yes,21.318487,2036
15,2032,No,5,10,No,No,29.84185,0
28,2037,No,3,12,No,No,27.454391,0
5,2039,No,4,11,No,No,29.121103,0
1,2035,Yes,6,9,Yes,Yes,22.728909,2034
4,2035,No,5,10,Yes,Yes,29.827095,0
6,2040,No,6,8,No,No,33.787521,0
1,2038,Yes,6,9,No,No,20.924154,2034
40,2037,Yes,4,9,Yes,Yes,21.162773,2036
12,2034,No,5,12,Yes,Yes,23.727137,0
23,2033,No,2,10,Yes,Yes,33.787083,0
20,2039,No,4,7,No,No,23.56687,0
17,2032,No,6,9,Yes,Yes,21.095928,0
8,2039,No,4,0,Yes,No,24.97101,0
7,2036,No,5,9,No,Yes,32.455257,0
8,2040,No,4,10,No,Yes,27.547449,0
21,2039,No,4,9,No,No,27.580082,0
2,2035,Yes,6,8,No,Yes,24.281641,2034
2,2034,Yes,6,9,Yes,Yes,23.666538,2034
36,2033,No,3,11,No,Yes,22.906679,2036
6,2032,No,6,9,Yes,Yes,26.911648,0
26,2036,No,4,9,No,Yes,19.283731,0
32,2037,No,3,12,No,No,20.067091,2038
3,2034,Yes,5,2,Yes,Yes,29.785349,2034
18,2035,No,5,9,No,Yes,22.41876,0
14,2037,No,5,8,Yes,No,24.053326,0
18,2036,No,5,9,No,Yes,17.548159,0
33,2035,No,3,9,No,Yes,21.88229,2038
24,2032,No,5,9,No,Yes,28.88081,0
38,2039,Yes,7,9,Yes,Yes,25.984379,2036
29,2035,No,3,8,Yes,No,23.784472,0
7,2038,No,5,10,No,No,33.500755,0
19,2040,No,5,8,No,Yes,21.111237,0
21,2038,No,4,7,Yes,No,23.434891,0
24,2039,No,5,9,Yes,Yes,30.844248,0
3,2032,No,5,9,No,Yes,17.921333,2034
6,2033,No,6,9,No,Yes,26.0009,0
31,2038,Yes,3,9,No,Yes,17.466299,2038
13,2037,No,3,9,Yes,No,29.318876,0
13,2034,No,3,9,No,No,33.584438,0
35,2032,No,3,12,Yes,No,23.563852,2038
24,2037,No,5,12,No,Yes,25.973095,0
22,2037,No,5,9,Yes,Yes,25.695316,0
34,2034,No,3,9,Yes,Yes,29.834019,2038
2,2033,No,6,9,No,Yes,30.027435,2034
14,2034,No,5,13,Yes,Yes,21.245306,0
19,2037,No,5,19,No,No,17.993473,0
39,2036,Yes,6,9,Yes,No,23.464231,2036
31,2034,No,3,18,No,Yes,23.656513,2038
14,2038,No,5,7,No,Yes,31.088102,0
35,2032,No,3,8,Yes,No,31.334202,2038
35,2039,Yes,3,9,Yes,Yes,23.830078,2038
40,2039,Yes,4,9,Yes,Yes,30.41794,2036
4,2034,No,5,10,No,No,30.291355,0
28,2033,No,3,11,No,Yes,29.030754,0
24,2040,No,5,9,No,Yes,31.045193,0
13,2039,No,3,10,No,Yes,26.840353,0
24,2035,No,5,9,No,Yes,28.415449,0
32,2032,No,3,11,No,No,21.845989,2038
4,2035,No,5,8,No,Yes,30.146585,0
15,2035,No,5,9,Yes,No,24.818722,0
13,2039,No,3,8,No,No,34.255501,0
25,2035,No,5,9,No,No,21.332901,0
17,2035,No,6,9,No,Yes,20.129999,0
31,2034,No,3,9,Yes,Yes,23.306492,2038
11,2035,No,7,19,Yes,No,31.81892,0
7,2035,No,5,9,No,Yes,30.739048,0
21,2040,No,4,7,Yes,Yes,19.462372,0
31,2032,No,3,8,Yes,Yes,31.531862,2038
29,2040,No,3,9,Yes,Yes,24.262741,0
37,2038,Yes,6,10,Yes,No,20.12808,2036
21,2038,No,4,11,Yes,Yes,23.658216,0
39,2037,Yes,6,9,Yes,Yes,33.745491,2036
8,2034,No,4,10,No,Yes,19.472824,0
31,2037,No,3,8,No,Yes,19.631098,2038
40,2035,No,4,10,No,No,23.359741,2036
39,2039,Yes,6,9,No,No,24.213486,2036
15,2040,No,5,11,Yes,Yes,19.71015,0
3,2040,Yes,5,15,No,Yes,22.362083,2034
28,2039,No,3,10,No,Yes,24.155003,0
7,2037,No,5,11,No,Yes,22.52681,0
30,2034,No,6,8,No,Yes,26.998938,0
33,2033,No,3,11,No,Yes,29.842308,2038
15,2038,No,5,9,Yes,No,25.173868,0
27,2040,No,6,9,Yes,No,28.699776,0
22,2033,No,5,9,No,Yes,17.144548,0
36,2035,No,3,9,No,Yes,23.602495,2036
7,2035,No,5,10,Yes,No,26.201614,0
15,2034,No,5,9,Yes,Yes,32.634449,0
16,2040,No,3,12,Yes,Yes,19.706615,0
30,2036,No,6,8,No,Yes,21.550827,0
13,2039,No,3,8,No,Yes,29.071949,0
23,2033,No,2,9,Yes,No,31.198132,0
20,2033,No,4,8,No,Yes,30.142853,0
25,2036,No,5,9,Yes,No,30.085402,0
18,2033,No,5,0,No,Yes,18.217394,0
16,2037,No,3,9,No,No,31.536057,0
8,2036,No,4,11,No,No,26.632193,0
20,2040,No,4,9,No,Yes,19.840868,0
7,2039,No,5,17,Yes,No,27.587437,0
35,2032,No,3,9,No,Yes,18.893259,2038
39,2037,Yes,6,8,Yes,No,26.554878,2036
18,2036,No,5,11,No,Yes,24.543995,0
31,2040,Yes,3,12,No,No,27.498556,2038
40,2034,No,4,8,Yes,Yes,19.954868,2036
5,2035,No,4,10,Yes,Yes,29.208014,0
18,2038,No,5,9,Yes,Yes,26.980124,0
2,2035,Yes,6,8,No,Yes,22.34149,2034
36,2040,Yes,3,9,Yes,Yes,20.370361,2036
14,2035,No,5,8,Yes,No,27.458487,0
38,2032,No,7,9,Yes,Yes,23.299242,2036
10,2038,No,6,8,Yes,No,35.910694,0
31,2036,No,3,12,No,No,25.786888,2038
31,2040,Yes,3,7,Yes,No,18.381559,2038
26,2033,No,4,9,No,Yes,29.954626,0
38,2035,No,7,12,Yes,Yes,25.970379,2036
8,2033,No,4,12,Yes,Yes,23.10211,0
19,2034,No,5,10,Yes,Yes,20.496758,0
8,2037,No,4,10,No,Yes,29.263716,0
16,2038,No,3,11,No,Yes,24.480753,0
36,2037,Yes,3,10,Yes,Yes,26.577099,2036
16,2032,No,3,9,No,No,27.778635,0
1,2034,Yes,6,9,No,Yes,22.874954,2034
33,2035,No,3,0,No,Yes,22.780514,2038
38,2033,No,7,10,No,Yes,32.714619,2036
40,2035,No,4,9,No,No,21.291182,2036
36,2032,No,3,9,No,Yes,28.377855,2036
28,2036,No,3,8,Yes,No,32.65852,0
5,2035,No,4,9,No,No,20.967253,0
18,2033,No,5,9,Yes,Yes,21.393148,0
5,2039,No,4,9,No,Yes,23.621191,0
23,2035,No,2,10,No,Yes,30.328032,0
12,2032,No,5,13,Yes,Yes,23.431311,0
27,2038,No,6,9,Yes,Yes,24.030575,0
35,2035,No,3,11,No,Yes,30.138109,2038
31,2039,Yes,3,11,Yes,Yes,27.021492,2038
14,2039,No,5,7,Yes,No,20.019205,0
1,2036,Yes,6,9,No,No,23.576332,2034
34,2039,Yes,3,10,No,Yes,21.696135,2038
22,2037,No,5,12,No,Yes,29.348785,0
13,2039,No,3,13,No,Yes,18.20615,0
37,2035,No,6,10,No,Yes,30.835724,2036
8,2040,No,4,11,No,Yes,29.349829,0
15,2037,No,5,8,No,Yes,22.68104,0
39,2035,No,6,10,No,No,24.020252,2036
34,2040,Yes,3,9,Yes,No,33.134563,2038
40,2037,Yes,4,11,No,Yes,27.961859,2036
10,2037,No,6,10,Yes,Yes,30.010128,0
25,2032,No,5,9,No,No,16.120169,0
18,2037,No,5,12,Yes,No,25.501057,0
13,2036,No,3,12,Yes,Yes,27.769787,0
38,2037,Yes,7,18,Yes,Yes,27.005239,2036
13,2034,No,3,17,No,No,30.806822,0
13,2035,No,3,9,Yes,Yes,25.801142,0
25,2040,No,5,9,No,Yes,18.291277,0
2,2038,Yes,6,11,No,No,32.043293,2034
32,2035,No,3,11,Yes,No,24.35174,2038
21,2034,No,4,9,No,Yes,24.317831,0
13,2040,No,3,11,No,No,32.59919,0
9,2032,No,3,19,No,Yes,25.872326,0
16,2037,No,3,10,No,Yes,30.38644,0
13,2040,No,3,9,Yes,Yes,31.023991,0
30,2034,No,6,11,Yes,No,34.954189,0
1,2034,Yes,6,9,No,Yes,17.377661,2034
2,2035,Yes,6,9,No,Yes,20.188332,2034
25,2037,No,5,7,Yes,Yes,19.867807,0
15,2034,No,5,11,No,Yes,18.290079,0
17,2036,No,6,9,No,Yes,18.604874,0
8,2038,No,4,9,No,Yes,29.042572,0
8,2038,No,4,9,Yes,Yes,32.593594,0
8,2040,No,4,10,No,Yes,29.127607,0
10,2032,No,6,12,No,No,21.907598,0
17,2037,No,6,9,No,No,17.947742,0
30,2035,No,6,9,No,Yes,18.120028,0
17,2034,No,6,9,Yes,Yes,22.127556,0
30,2039,No,6,9,Yes,Yes,29.8764,0
4,2034,No,5,9,No,No,31.89118,0
2,2034,Yes,6,10,No,Yes,15.627755,2034
9,2032,No,3,8,Yes,No,19.09305,0
26,2038,No,4,10,Yes,No,29.062086,0
34,2032,No,3,14,Yes,Yes,30.659084,2038
20,2039,No,4,9,No,Yes,21.394581,0
7,2034,No,5,8,Yes,Yes,24.831469,0
34,2036,No,3,11,No,Yes,26.573002,2038
22,2036,No,5,9,Yes,Yes,25.040234,0
4,2032,No,5,9,No,No,26.909113,0
30,2039,No,6,11,Yes,No,20.648161,0
28,2036,No,3,9,Yes,Yes,30.455597,0
7,2034,No,5,10,Yes,Yes,33.100739,0
26,2033,No,4,15,No,Yes,18.62369,0
31,2037,No,3,9,No,Yes,24.745087,2038
23,2038,No,2,10,Yes,Yes,17.946983,0
21,2035,No,4,11,Yes,Yes,25.173185,0
12,2033,No,5,14,Yes,Yes,24.3848,0
2,2035,Yes,6,9,No,Yes,24.273478,2034
6,2040,No,6,11,Yes,Yes,21.861753,0
25,2033,No,5,11,No,Yes,27.841927,0
25,2040,No,5,12,No,No,31.372181,0
15,2032,No,5,10,Yes,Yes,29.669121,0
33,2036,No,3,10,Yes,Yes,32.606075,2038
25,2039,No,5,9,No,No,24.545244,0
39,2033,No,6,9,Yes,No,34.666683,2036
38,2037,Yes,7,9,Yes,Yes,20.286863,2036
11,2039,No,7,9,Yes,Yes,18.959002,0
19,2033,No,5,9,No,Yes,25.394098,0
24,2032,No,5,11,Yes,Yes,25.366055,0
1,2035,Yes,6,9,No,No,28.750477,2034
9,2038,No,3,8,No,Yes,32.925621,0
4,2040,No,5,19,Yes,No,30.958281,0
4,2038,No,5,13,No,Yes,25.590239,0
30,2035,No,6,10,No,Yes,35.003513,0
15,2032,No,5,7,No,No,17.245674,0
35,2032,No,3,17,Yes,No,25.058611,2038
5,2036,No,4,10,No,Yes,27.270472,0
6,2033,No,6,9,Yes,Yes,28.25865,0
14,2033,No,5,11,No,No,19.676914,0
17,2036,No,6,14,Yes,Yes,24.161684,0
29,2039,No,3,9,Yes,Yes,19.236959,0
20,2039,No,4,7,Yes,Yes,20.632572,0
38,2040,Yes,7,11,No,Yes,22.594376,2036
39,2038,Yes,6,9,Yes,No,23.665926,2036
12,2035,No,5,10,No,Yes,30.448711,0
38,2034,No,7,7,Yes,Yes,27.118017,2036
33,2036,No,3,7,No,Yes,23.504639,2038
15,2040,No,5,9,No,Yes,24.629097,0
19,2037,No,5,7,No,Yes,28.768375,0
22,2038,No,5,13,No,No,32.467941,0
11,2037,No,7,8,No,Yes,21.052519,0
10,2034,No,6,9,No,No,31.34734,0
1,2038,Yes,6,9,No,No,16.89147,2034
38,2040,Yes,7,8,No,Yes,24.350042,2036
22,2034,No,5,9,No,No,18.955648,0
33,2038,Yes,3,10,No,Yes,25.769672,2038
1,2032,No,6,9,Yes,Yes,28.88522,2034
16,2035,No,3,7,No,No,33.492619,0
27,2037,No,6,13,Yes,Yes,26.544394,0
33,2032,No,3,9,Yes,Yes,20.916552,2038
24,2038,No,5,9,No,No,20.922499,0
39,2033,No,6,9,Yes,Yes,18.653833,2036
31,2035,No,3,8,Yes,No,21.923588,2038
30,2040,No,6,12,No,Yes,26.270729,0
35,2040,Yes,3,12,No,Yes,27.244291,2038
37,2032,No,6,11,No,No,27.849026,2036
17,2039,No,6,9,No,Yes,24.158667,0
19,2034,No,5,9,Yes,Yes,23.05571,0
21,2038,No,4,10,Yes,Yes,19.675932,0
20,2037,No,4,8,Yes,No,27.967394,0
16,2032,No,3,9,No,Yes,28.735371,0
13,2039,No,3,9,No,Yes,23.25071,0
25,2039,No,5,9,Yes,Yes,21.151987,0
12,2032,No,5,19,No,Yes,25.113522,0
10,2033,No,6,12,No,Yes,27.40749,0
19,2032,No,5,9,No,Yes,27.199619,0
3,2037,Yes,5,19,No,No,29.55637,2034
24,2040,No,5,9,No,No,19.778633,0
27,2033,No,6,12,Yes,Yes,28.150724,0
6,2035,No,6,10,No,No,35.230133,0
22,2033,No,5,9,Yes,No,29.013721,0
6,2032,No,6,9,Yes,Yes,26.130127,0
18,2033,No,5,7,No,Yes,22.092175,0
37,2040,Yes,6,7,Yes,No,26.546371,2036
3,2037,Yes,5,9,No,Yes,20.169302,2034
19,2033,No,5,7,Yes,No,24.515547,0
38,2040,Yes,7,9,Yes,No,29.688932,2036
9,2033,No,3,12,Yes,Yes,15.152822,0
17,2034,No,6,12,Yes,Yes,27.964355,0
22,2039,No,5,9,Yes,Yes,26.086935,0
11,2032,No,7,12,Yes,Yes,21.35878,0
20,2035,No,4,9,Yes,No,18.500694,0
14,2038,No,5,9,Yes,Yes,19.639515,0
39,2034,No,6,9,Yes,Yes,25.20009,2036
16,2038,No,3,18,Yes,Yes,24.847858,0
12,2039,No,5,9,Yes,Yes,25.891035,0
39,2033,No,6,11,No,Yes,24.176819,2036
40,2037,Yes,4,9,No,No,29.401022,2036
15,2034,No,5,15,Yes,Yes,25.572733,0
21,2039,No,4,9,No,Yes,32.186111,0
23,2037,No,2,8,No,No,20.984871,0
40,2036,Yes,4,11,No,Yes,20.290539,2036
17,2034,No,6,9,Yes,Yes,29.590456,0
24,2037,No,5,9,Yes,Yes,22.948402,0
4,2040,No,5,10,Yes,Yes,14.12984,0
7,2037,No,5,10,Yes,Yes,21.922577,0
39,2033,No,6,17,Yes,Yes,18.157326,2036
12,2032,No,5,9,Yes,No,20.812361,0
14,2032,No,5,10,Yes,Yes,33.838242,0
6,2034,No,6,9,Yes,Yes,27.401545,0
18,2034,No,5,10,Yes,Yes,23.391205,0
26,2032,No,4,0,No,No,27.681242,0
11,2034,No,7,10,No,No,25.537052,0
17,2034,No,6,9,No,Yes,25.273277,0
21,2035,No,4,11,Yes,Yes,20.538376,0
7,2038,No,5,9,Yes,Yes,26.085226,0
18,2034,No,5,9,No,No,26.73761,0
36,2036,Yes,3,10,Yes,Yes,26.643698,2036
29,2039,No,3,9,No,Yes,17.668045,0
24,2035,No,5,9,Yes,Yes,20.445635,0
24,2032,No,5,9,No,Yes,32.219101,0
22,2038,No,5,9,Yes,No,29.69031,0
5,2032,No,4,13,Yes,Yes,19.490915,0
37,2037,Yes,6,8,Yes,No,31.0627,2036
24,2035,No,5,11,Yes,No,20.555025,0
3,2032,No,5,9,Yes,Yes,20.178692,2034
21,2036,No,4,9,No,No,34.140289,0
32,2037,No,3,11,No,Yes,29.084974,2038
19,2036,No,5,9,No,Yes,31.8659,0
10,2036,No,6,9,Yes,No,32.090256,0
39,2032,No,6,9,No,Yes,28.311279,2036
23,2035,No,2,11,Yes,Yes,18.209017,0
22,2033,No,5,9,Yes,Yes,21.770967,0
7,2039,No,5,9,No,Yes,27.537539,0
6,2033,No,6,9,No,Yes,17.152548,0
26,2038,No,4,10,Yes,No,20.52084,0
32,2037,No,3,8,Yes,No,28.847097,2038
40,2034,No,4,7,No,Yes,30.652431,2036
40,2032,No,4,12,No,No,30.514269,2036
12,2038,No,5,9,No,Yes,24.664225,0
32,2040,Yes,3,8,No,Yes,32.665131,2038
1,2037,Yes,6,9,No,Yes,26.142115,2034
14,2038,No,5,9,Yes,Yes,32.584953,0
7,2036,No,5,9,No,No,25.284494,0
34,2040,Yes,3,11,Yes,No,21.80694,2038
10,2035,No,6,13,Yes,Yes,21.806845,0
20,2039,No,4,9,No,Yes,20.220352,0
23,2038,No,2,19,Yes,Yes,21.443695,0
27,2039,No,6,12,Yes,Yes,24.46242,0
20,2040,No,4,11,Yes,No,28.328646,0
22,2034,No,5,11,No,No,26.575623,0
8,2034,No,4,10,No,Yes,24.237198,0
5,2035,No,4,12,Yes,No,23.032881,0
35,2034,No,3,9,No,Yes,27.345873,2038
24,2032,No,5,9,Yes,Yes,30.992914,0
28,2040,No,3,8,Yes,Yes,18.874659,0
26,2037,No,4,8,Yes,Yes,30.729914,0
8,2037,No,4,10,Yes,No,28.710581,0
34,2033,No,3,9,No,No,23.868725,2038
16,2033,No,3,10,No,Yes,28.39854,0
34,2038,Yes,3,10,No,Yes,27.65053,2038
39,2032,No,6,9,Yes,No,28.604397,2036
7,2039,No,5,11,Yes,No,29.993631,0
8,2036,No,4,9,No,No,24.962986,0
35,2036,No,3,9,Yes,Yes,26.164558,2038
40,2038,Yes,4,10,No,Yes,16.013245,2036
39,2038,Yes,6,9,No,Yes,20.039949,2036
15,2035,No,5,9,No,Yes,28.748505,0
10,2040,No,6,9,Yes,Yes,18.384487,0
3,2038,Yes,5,17,Yes,Yes,20.348124,2034
29,2036,No,3,9,No,No,21.578417,0
11,2039,No,7,9,Yes,Yes,31.337925,0
17,2034,No,6,7,Yes,Yes,20.540604,0
18,2036,No,5,9,No,Yes,33.153778,0
40,2032,No,4,7,Yes,No,20.812599,2036
1,2038,Yes,6,9,No,No,23.926512,2034
25,2033,No,5,9,Yes,No,31.64975,0
24,2040,No,5,9,No,Yes,30.4158,0
29,2034,No,3,8,Yes,Yes,30.151596,0
19,2036,No,5,10,No,Yes,23.673376,0
14,2032,No,5,9,Yes,No,24.243952,0
23,2033,No,2,10,Yes,No,25.104425,0
11,2039,No,7,11,No,Yes,31.51753,0
2,2038,Yes,6,8,No,Yes,20.057457,2034
14,2032,No,5,9,No,No,19.966187,0
12,2040,No,5,13,No,No,26.29125,0
13,2039,No,3,10,Yes,Yes,31.826502,0
6,2036,No,6,10,Yes,No,35.190372,0
24,2038,No,5,9,Yes,No,25.290857,0
6,2038,No,6,9,No,Yes,16.201944,0
13,2032,No,3,9,Yes,No,27.254189,0
36,2039,Yes,3,9,No,No,25.357937,2036
1,2033,No,6,10,No,Yes,21.069412,2034
11,2036,No,7,10,Yes,Yes,27.855455,0
32,2040,Yes,3,7,No,Yes,27.774708,2038
1,2035,Yes,6,10,Yes,Yes,32.748283,2034
35,2033,No,3,9,Yes,No,20.071953,2038
24,2038,No,5,9,No,No,31.206335,0
12,2036,No,5,10,No,No,18.323996,0
17,2032,No,6,9,Yes,No,24.592218,0
35,2038,Yes,3,11,Yes,No,19.720222,2038
21,2032,No,4,9,No,Yes,13.1018,0
22,2040,No,5,11,Yes,Yes,18.636482,0
28,2036,No,3,19,Yes,Yes,27.541723,0
28,2034,No,3,9,Yes,No,31.069929,0
10,2037,No,6,9,Yes,Yes,26.281189,0
37,2037,Yes,6,9,Yes,No,21.971441,2036
20,2037,No,4,15,Yes,No,30.755987,0
1,2036,Yes,6,8,Yes,Yes,32.083496,2034
35,2032,No,3,7,Yes,No,32.216038,2038
31,2037,No,3,10,Yes,Yes,29.424135,2038
10,2039,No,6,9,Yes,No,25.206249,0
4,2036,No,5,12,No,No,24.147137,0
25,2034,No,5,11,No,Yes,17.062365,0
17,2035,No,6,10,Yes,No,19.766575,0
40,2038,Yes,4,11,No,Yes,27.409487,2036
15,2037,No,5,9,No,Yes,22.39448,0
19,2032,No,5,10,No,Yes,23.993885,0
35,2034,No,3,9,Yes,Yes,24.863602,2038
6,2039,No,6,9,No,Yes,16.111946,0
17,2037,No,6,8,No,Yes,32.141495,0
25,2036,No,5,9,No,Yes,18.546673,0
15,2033,No,5,9,No,Yes,26.292212,0
1,2038,Yes,6,13,No,Yes,22.714987,2034
39,2035,No,6,12,Yes,Yes,18.351479,2036
5,2032,No,4,13,No,No,28.571396,0
27,2034,No,6,9,No,Yes,30.545479,0
27,2039,No,6,9,No,No,29.551233,0
2,2034,Yes,6,12,No,No,23.271259,2034
25,2040,No,5,10,Yes,No,32.380577,0
4,2036,No,5,9,No,Yes,21.733223,0
40,2037,Yes,4,19,Yes,Yes,14.717196,2036
37,2035,No,6,7,Yes,No,26.398926,2036
32,2040,Yes,3,10,Yes,Yes,27.538542,2038
23,2040,No,2,14,Yes,No,32.595062,0
38,2033,No,7,9,No,Yes,33.801105,2036
31,2040,Yes,3,8,No,No,29.317225,2038
39,2034,No,6,8,Yes,Yes,26.786982,2036
33,2034,No,3,9,No,Yes,20.138659,2038
30,2032,No,6,11,Yes,Yes,26.043646,0
16,2033,No,3,11,Yes,Yes,33.505409,0
10,2033,No,6,10,No,Yes,19.682289,0
30,2035,No,6,7,No,Yes,31.951248,0
37,2032,No,6,13,Yes,Yes,25.856422,2036
16,2035,No,3,7,No,Yes,17.689339,0
20,2035,No,4,9,Yes,No,30.443119,0
23,2032,No,2,9,No,Yes,29.541843,0
40,2039,Yes,4,9,No,No,34.160328,2036
19,2039,No,5,10,Yes,No,22.07395,0
